Location,Type,N_Rent_Households_18,Overall_Burden_Rate_18,Moderate_Burden_Rate_18,Severe_Burden_Rate_18,N_Burden_Overall_18,N_Burden_Moderate_18,N_Burden_Severe_18,Median_Rent_18,Median_Renter_Income_18,N_Rent_Households_17,Overall_Burden_Rate_17,Moderate_Burden_Rate_17,Severe_Burden_Rate_17,N_Burden_Overall_17,N_Burden_Moderate_17,N_Burden_Severe_17,Median_Rent_17,Median_Renter_Income_17,N_Rent_Households_08,Overall_Burden_Rate_08,Moderate_Burden_Rate_08,Severe_Burden_Rate_08,N_Burden_Overall_08,N_Burden_Moderate_08,N_Burden_Severe_08,Median_Rent_08,Median_Renter_Income_08,N_Rent_Households_change_17_18,Overall_Burden_Rate_change_17_18,Moderate_Burden_Rate_change_17_18,Severe_Burden_Rate_change_17_18,N_Burden_Overall_change_17_18,N_Burden_Moderate_change_17_18,N_Burden_Severe_change_17_18,Median_Rent_change_17_18,Median_Renter_Income_change_17_18,N_Rent_Households_change_08_18,Overall_Burden_Rate_change_08_18,Moderate_Burden_Rate_change_08_18,Severe_Burden_Rate_change_08_18,N_Burden_Overall_change_08_18,N_Burden_Moderate_change_08_18,N_Burden_Severe_change_08_18,Median_Rent_change_08_18
"Nueces, TX",County,51052,0.463,0.238,0.225,23641,12147,11494,1007,41029,0.484,0.223,0.261,25131,11588,13543,992,37386,41849,0.561,0.269,0.292,23482,11264,12218,904,31305,-883,-0.021,0.015,-0.036,-1490,559,-2049,0.016,0.097,9203,-0.098,-0.031,-0.067,159,883,-724,0.114,0.311
"Oakland, MI",County,139233,0.429,0.223,0.206,59792,31067,28725,1033,46897,0.413,0.196,0.216,56982,27105,29877,1075,49505,114092,0.452,0.249,0.203,51601,28446,23155,1008,42305,1098,0.017,0.027,-0.01,2810,3962,-1152,-0.039,-0.053,25141,-0.023,-0.026,0.003,8191,2621,5570,0.025,0.109
"Ocean, NJ",County,42246,0.633,0.286,0.347,26760,12082,14678,1435,44025,0.586,0.299,0.287,24340,12414,11926,1476,49698,36613,0.654,0.307,0.348,23957,11232,12725,1400,43944,706,0.047,-0.013,0.06,2420,-332,2752,-0.028,-0.114,5633,-0.021,-0.021,0,2803,850,1953,0.025,0.002
"Oconee, SC",County,7316,0.488,0.228,0.26,3570,1671,1899,698,26175,0.545,0.359,0.186,3872,2551,1321,749,29607,6845,0.511,0.304,0.207,3498,2080,1418,628,26468,210,-0.057,-0.131,0.074,-302,-880,578,-0.068,-0.116,471,-0.023,-0.075,0.052,72,-409,481,0.112,-0.011
"Okaloosa, FL",County,26698,0.533,0.288,0.245,14228,7696,6532,1124,40048,0.478,0.275,0.203,12874,7417,5457,1122,42986,21655,0.495,0.226,0.269,10709,4894,5815,1159,44656,-245,0.055,0.013,0.042,1354,279,1075,0.002,-0.068,5043,0.038,0.062,-0.024,3519,2802,717,-0.03,-0.103
"Oklahoma, OK",County,118932,0.466,0.233,0.233,55373,27720,27653,883,37006,0.455,0.246,0.209,51374,27756,23618,858,36020,100536,0.466,0.222,0.244,46858,22361,24497,761,31768,6100,0.01,-0.013,0.023,3999,-36,4035,0.029,0.027,18396,0,0.011,-0.011,8515,5359,3156,0.16,0.165
"Olmsted, MN",County,18291,0.447,0.194,0.253,8171,3542,4629,975,41189,0.443,0.208,0.235,6978,3278,3700,1011,44998,12035,0.44,0.215,0.225,5299,2586,2713,840,39474,2540,0.004,-0.014,0.018,1193,264,929,-0.036,-0.085,6256,0.006,-0.021,0.028,2872,956,1916,0.16,0.043
"Oneida, NY",County,27139,0.481,0.224,0.257,13062,6078,6984,758,32111,0.494,0.235,0.26,13474,6395,7079,747,27983,27814,0.458,0.185,0.273,12740,5147,7593,722,31227,-119,-0.013,-0.011,-0.002,-412,-317,-95,0.015,0.148,-675,0.023,0.039,-0.016,322,931,-609,0.049,0.028
"Onondaga, NY",County,60223,0.443,0.173,0.27,26649,10418,16231,848,32273,0.481,0.239,0.241,29911,14903,15008,861,33455,59677,0.511,0.26,0.251,30506,15516,14990,820,32430,-2020,-0.038,-0.066,0.028,-3262,-4485,1223,-0.015,-0.035,546,-0.069,-0.087,0.018,-3857,-5098,1241,0.035,-0.005
"Onslow, NC",County,29115,0.456,0.283,0.172,13265,8254,5011,995,40989,0.384,0.234,0.15,10322,6294,4028,1086,45716,19339,0.347,0.228,0.119,6707,4415,2292,866,36285,2217,0.072,0.05,0.022,2943,1960,983,-0.084,-0.103,9776,0.109,0.055,0.054,6558,3839,2719,0.149,0.13
"Ontario, NY",County,11519,0.428,0.203,0.224,4927,2342,2585,891,36616,0.492,0.255,0.237,5386,2788,2598,842,34240,10028,0.516,0.268,0.248,5174,2685,2489,805,26987,578,-0.065,-0.052,-0.013,-459,-446,-13,0.058,0.069,1491,-0.088,-0.064,-0.024,-247,-343,96,0.107,0.357
"Orange, CA",County,421773,0.559,0.271,0.288,235740,114312,121428,1872,64504,0.577,0.285,0.292,243585,120383,123202,1837,63261,363622,0.552,0.286,0.266,200616,103873,96743,1669,59541,-172,-0.018,-0.014,-0.004,-7845,-6071,-1774,0.019,0.02,58151,0.007,-0.015,0.022,35124,10439,24685,0.122,0.083
"Orange, FL",County,196248,0.571,0.288,0.283,112075,56601,55474,1219,40544,0.56,0.257,0.303,111907,51365,60542,1184,41495,142410,0.581,0.283,0.298,82732,40247,42485,1188,44304,-3632,0.011,0.031,-0.02,168,5236,-5068,0.03,-0.023,53838,-0.01,0.006,-0.016,29343,16354,12989,0.026,-0.085
"Orange, NC",County,18599,0.586,0.259,0.327,10901,4820,6081,1093,35264,0.479,0.191,0.288,9317,3718,5599,1107,46778,19073,0.529,0.189,0.34,10093,3613,6480,936,31014,-846,0.107,0.068,0.039,1584,1102,482,-0.012,-0.246,-474,0.057,0.07,-0.013,808,1207,-399,0.167,0.137
"Orange, NY",County,39056,0.593,0.267,0.326,23142,10422,12720,1243,39572,0.586,0.291,0.294,20578,10237,10341,1279,45474,34201,0.523,0.261,0.261,17874,8932,8942,1196,43023,3928,0.007,-0.025,0.031,2564,185,2379,-0.028,-0.13,4855,0.07,0.006,0.064,5268,1490,3778,0.04,-0.08
"Orange, TX",County,6887,0.492,0.242,0.25,3385,1664,1721,824,30424,0.26,0.145,0.115,1340,746,594,664,42167,6001,0.484,0.262,0.222,2905,1572,1333,772,33380,1729,0.232,0.097,0.135,2045,918,1127,0.24,-0.278,886,0.007,-0.02,0.028,480,92,388,0.067,-0.089
"Orangeburg, SC",County,7670,0.472,0.31,0.162,3622,2378,1244,644,22770,0.52,0.278,0.242,3880,2074,1806,699,21137,8309,0.523,0.152,0.371,4347,1266,3081,686,20899,205,-0.048,0.032,-0.08,-258,304,-562,-0.079,0.077,-639,-0.051,0.158,-0.209,-725,1112,-1837,-0.061,0.09
"Orleans , LA",County,71401,0.63,0.263,0.366,44950,18791,26159,993,24659,0.643,0.259,0.384,47931,19290,28641,989,24479,35928,0.655,0.246,0.408,23520,8847,14673,1085,30404,-3098,-0.014,0.004,-0.018,-2981,-499,-2482,0.004,0.007,35473,-0.025,0.017,-0.042,21430,9944,11486,-0.085,-0.189
"Osceola, FL",County,34956,0.623,0.3,0.322,21768,10501,11267,1296,37129,0.575,0.213,0.362,19293,7137,12156,1217,38675,30397,0.65,0.317,0.333,19769,9650,10119,1265,47657,1377,0.048,0.088,-0.04,2475,3364,-889,0.065,-0.04,4559,-0.028,-0.017,-0.011,1999,851,1148,0.025,-0.221
"Oswego, NY",County,10593,0.623,0.267,0.356,6597,2831,3766,764,22367,0.459,0.217,0.242,5415,2557,2858,785,32118,11752,0.639,0.234,0.405,7514,2753,4761,786,30907,-1193,0.163,0.05,0.113,1182,274,908,-0.027,-0.304,-1159,-0.017,0.033,-0.05,-917,78,-995,-0.028,-0.276
"Ottawa, MI",County,19313,0.447,0.263,0.185,8641,5077,3564,871,40319,0.51,0.249,0.261,10177,4963,5214,910,37359,16880,0.445,0.147,0.299,7520,2474,5046,843,39208,-638,-0.063,0.014,-0.077,-1536,114,-1650,-0.043,0.079,2433,0.002,0.116,-0.114,1121,2603,-1482,0.033,0.028
"Ouachita , LA",County,20524,0.52,0.288,0.233,10680,5907,4773,766,26989,0.599,0.303,0.296,12021,6082,5939,783,24891,18986,0.514,0.266,0.248,9757,5049,4708,680,21738,449,-0.078,-0.015,-0.063,-1341,-175,-1166,-0.021,0.084,1538,0.006,0.022,-0.015,923,858,65,0.127,0.242
"Outagamie, WI",County,19988,0.289,0.144,0.145,5784,2888,2896,797,42904,0.388,0.227,0.162,7955,4643,3312,795,39123,17012,0.321,0.179,0.142,5466,3042,2424,795,35650,-500,-0.099,-0.082,-0.017,-2171,-1755,-416,0.002,0.097,2976,-0.032,-0.034,0.002,318,-154,472,0.002,0.203
"Ozaukee, WI",County,7470,0.454,0.236,0.218,3391,1765,1626,939,42606,0.451,0.308,0.143,3343,2282,1061,878,37653,6634,0.406,0.212,0.194,2695,1408,1287,873,48994,54,0.003,-0.071,0.075,48,-517,565,0.069,0.132,836,0.048,0.024,0.024,696,357,339,0.075,-0.13
"Palm Beach, FL",County,154667,0.607,0.301,0.306,93884,46529,47355,1369,44062,0.593,0.274,0.319,94303,43539,50764,1388,44829,125100,0.575,0.275,0.299,71871,34465,37406,1345,43725,-4249,0.014,0.027,-0.013,-419,2990,-3409,-0.013,-0.017,29567,0.032,0.025,0.007,22013,12064,9949,0.018,0.008
"Parker, TX",County,8572,0.381,0.26,0.12,3264,2233,1031,1062,44105,0.432,0.258,0.174,3210,1915,1295,1095,47629,7200,0.476,0.159,0.317,3430,1148,2282,885,39546,1143,-0.051,0.003,-0.054,54,318,-264,-0.031,-0.074,1372,-0.096,0.101,-0.197,-166,1085,-1251,0.199,0.115
"Pasco, FL",County,50701,0.511,0.279,0.232,25932,14157,11775,1075,39634,0.51,0.254,0.255,29315,14635,14680,1042,39799,37473,0.586,0.325,0.26,21947,12189,9758,1034,39359,-6820,0.002,0.025,-0.023,-3383,-478,-2905,0.032,-0.004,13228,-0.074,-0.046,-0.028,3985,1968,2017,0.04,0.007
"Passaic, NJ",County,76720,0.521,0.232,0.288,39936,17832,22104,1281,46829,0.564,0.249,0.315,42922,18923,23999,1273,41570,62692,0.593,0.288,0.305,37159,18067,19092,1251,38606,641,-0.044,-0.016,-0.027,-2986,-1091,-1895,0.006,0.127,14028,-0.072,-0.056,-0.016,2777,-235,3012,0.024,0.213
"Paulding, GA",County,12043,0.498,0.343,0.155,5993,4125,1868,1133,46364,0.401,0.24,0.162,5422,3236,2186,1150,58742,8221,0.666,0.455,0.211,5474,3739,1735,1035,47283,-1462,0.096,0.103,-0.007,571,889,-318,-0.015,-0.211,3822,-0.168,-0.112,-0.056,519,386,133,0.095,-0.019
"Payne, OK",County,12062,0.501,0.223,0.278,6048,2690,3358,830,28434,0.688,0.332,0.356,9445,4558,4887,796,24155,11453,0.595,0.31,0.284,6810,3552,3258,694,24806,-1658,-0.187,-0.109,-0.078,-3397,-1868,-1529,0.043,0.177,609,-0.093,-0.087,-0.006,-762,-862,100,0.195,0.146
"Pennington, SD",County,13661,0.476,0.334,0.141,6497,4564,1933,816,31358,0.464,0.23,0.235,6556,3243,3313,839,29371,12791,0.454,0.226,0.228,5810,2894,2916,798,33645,-463,0.011,0.104,-0.093,-59,1321,-1380,-0.028,0.068,870,0.021,0.108,-0.086,687,1670,-983,0.023,-0.068
"Penobscot, ME",County,19038,0.489,0.24,0.249,9303,4564,4739,739,25365,0.461,0.204,0.257,7067,3124,3943,860,33847,18268,0.47,0.199,0.271,8584,3630,4954,755,26219,3717,0.027,0.036,-0.008,2236,1440,796,-0.141,-0.251,770,0.019,0.041,-0.022,719,934,-215,-0.022,-0.033
"Peoria, IL",County,24037,0.426,0.185,0.241,10238,4447,5791,799,31289,0.488,0.25,0.238,10458,5350,5108,755,27684,21461,0.464,0.238,0.225,9948,5118,4830,788,29015,2614,-0.062,-0.065,0.002,-220,-903,683,0.058,0.13,2576,-0.038,-0.053,0.016,290,-671,961,0.014,0.078
"Philadelphia, PA",County,264075,0.539,0.216,0.322,142247,57125,85122,1032,32992,0.536,0.22,0.316,132321,54352,77969,997,25392,231907,0.541,0.22,0.321,125560,51090,74470,936,30277,17317,0.002,-0.004,0.006,9926,2773,7153,0.035,0.299,32168,-0.003,-0.004,0.001,16687,6035,10652,0.102,0.09
"Pickens, SC",County,14176,0.533,0.214,0.319,7554,3031,4523,809,27056,0.452,0.156,0.296,6544,2259,4285,735,31087,10867,0.536,0.231,0.305,5827,2514,3313,733,28675,-308,0.081,0.058,0.023,1010,772,238,0.1,-0.13,3309,-0.003,-0.018,0.014,1727,517,1210,0.103,-0.056
"Pierce, WA",County,115737,0.516,0.294,0.221,59675,34050,25625,1299,50462,0.497,0.265,0.232,55471,29536,25935,1231,47455,103063,0.506,0.261,0.245,52192,26912,25280,1019,41968,4091,0.019,0.03,-0.011,4204,4514,-310,0.055,0.063,12674,0.009,0.033,-0.024,7483,7138,345,0.275,0.202
"Pima, AZ",County,140858,0.48,0.243,0.237,67614,34294,33320,887,36195,0.556,0.264,0.293,75619,35823,39796,912,32881,119192,0.522,0.248,0.274,62202,29578,32624,863,33226,4932,-0.076,-0.02,-0.056,-8005,-1529,-6476,-0.028,0.101,21666,-0.042,-0.005,-0.037,5412,4716,696,0.027,0.089
"Pinal, AZ",County,28426,0.459,0.259,0.2,13041,7351,5690,1059,44863,0.494,0.223,0.271,14055,6348,7707,1040,36211,28408,0.517,0.313,0.204,14697,8905,5792,960,39479,-42,-0.035,0.036,-0.071,-1014,1003,-2017,0.018,0.239,18,-0.059,-0.055,-0.004,-1656,-1554,-102,0.104,0.136
"Pinellas, FL",County,126688,0.536,0.282,0.254,67911,35700,32211,1119,39830,0.541,0.269,0.271,68242,34019,34223,1091,38564,110984,0.539,0.282,0.257,59805,31283,28522,1016,37840,445,-0.005,0.012,-0.017,-331,1681,-2012,0.025,0.033,15704,-0.003,0,-0.003,8106,4417,3689,0.102,0.053
"Pitt, NC",County,29994,0.556,0.202,0.354,16662,6059,10603,714,26335,0.573,0.207,0.366,16878,6100,10778,809,27217,25928,0.574,0.223,0.351,14885,5780,9105,812,21753,553,-0.018,-0.005,-0.013,-216,-41,-175,-0.118,-0.032,4066,-0.019,-0.021,0.002,1777,279,1498,-0.121,0.211
"Placer, CA",County,37148,0.543,0.284,0.259,20179,10551,9628,1587,54975,0.514,0.269,0.245,19883,10412,9471,1558,57347,33473,0.521,0.266,0.255,17430,8907,8523,1331,52545,-1566,0.03,0.015,0.015,296,139,157,0.018,-0.041,3675,0.022,0.018,0.005,2749,1644,1105,0.193,0.046
"Platte, MO",County,13180,0.505,0.276,0.229,6659,3635,3024,1039,43230,0.288,0.18,0.107,3752,2351,1401,1020,53595,9493,0.316,0.15,0.166,2999,1427,1572,935,46569,135,0.218,0.096,0.122,2907,1284,1623,0.018,-0.193,3687,0.189,0.125,0.064,3660,2208,1452,0.111,-0.072
"Plymouth, MA",County,39705,0.546,0.289,0.257,21688,11483,10205,1296,39553,0.5,0.226,0.274,20921,9443,11478,1265,41127,37342,0.526,0.224,0.302,19627,8348,11279,1220,43640,-2162,0.047,0.064,-0.017,767,2040,-1273,0.024,-0.038,2363,0.021,0.066,-0.045,2061,3135,-1074,0.062,-0.094
"Polk, FL",County,67486,0.462,0.255,0.206,31154,17242,13912,961,40511,0.503,0.257,0.246,35078,17906,17172,965,37107,63348,0.515,0.262,0.252,32595,16616,15979,963,41959,-2243,-0.041,-0.001,-0.04,-3924,-664,-3260,-0.004,0.092,4138,-0.053,-0.007,-0.046,-1441,626,-2067,-0.002,-0.035
"Polk, IA",County,57838,0.411,0.209,0.203,23788,12074,11714,883,42376,0.425,0.221,0.204,24488,12733,11755,904,41041,46611,0.454,0.217,0.237,21165,10118,11047,823,37584,265,-0.014,-0.012,-0.002,-700,-659,-41,-0.023,0.033,11227,-0.043,-0.008,-0.034,2623,1956,667,0.072,0.127
"Polk, OR",County,10364,0.533,0.193,0.339,5519,2001,3518,996,35496,0.541,0.176,0.365,4472,1453,3019,1049,31571,7148,0.538,0.255,0.283,3849,1826,2023,832,32486,2098,-0.008,0.017,-0.026,1047,548,499,-0.051,0.124,3216,-0.006,-0.062,0.056,1670,175,1495,0.197,0.093
"Portage, OH",County,15021,0.478,0.189,0.289,7174,2832,4342,877,29653,0.456,0.17,0.286,8100,3022,5078,898,36862,17998,0.489,0.241,0.248,8801,4333,4468,891,30776,-2749,0.022,0.018,0.003,-926,-190,-736,-0.023,-0.196,-2977,-0.011,-0.052,0.041,-1627,-1501,-126,-0.016,-0.036
"Portage, WI",County,8544,0.482,0.243,0.239,4117,2074,2043,771,32392,0.442,0.218,0.224,4104,2027,2077,773,32785,8492,0.542,0.29,0.252,4603,2466,2137,729,32470,-743,0.04,0.024,0.015,13,47,-34,-0.003,-0.012,52,-0.06,-0.048,-0.013,-486,-392,-94,0.058,-0.002
"Porter, IN",County,14301,0.404,0.221,0.182,5771,3163,2608,951,39393,0.467,0.152,0.314,8689,2838,5851,920,34654,13680,0.476,0.203,0.273,6513,2778,3735,933,40881,-4310,-0.063,0.069,-0.132,-2918,325,-3243,0.034,0.137,621,-0.073,0.018,-0.091,-742,385,-1127,0.019,-0.036
"Portsmouth, VA",County,14151,0.57,0.303,0.267,8073,4292,3781,1057,34830,0.544,0.275,0.269,8392,4245,4147,1004,36292,13325,0.587,0.309,0.278,7826,4119,3707,1033,36853,-1278,0.027,0.028,-0.002,-319,47,-366,0.053,-0.04,826,-0.017,-0.006,-0.011,247,173,74,0.024,-0.055
"Pottawatomie, OK",County,7561,0.435,0.208,0.227,3292,1576,1716,741,27464,0.376,0.227,0.148,2570,1554,1016,681,31931,6898,0.371,0.204,0.167,2561,1406,1155,634,22858,717,0.06,-0.019,0.079,722,22,700,0.088,-0.14,663,0.064,0.005,0.06,731,170,561,0.169,0.201
"Pottawattamie, IA",County,11660,0.495,0.229,0.266,5772,2673,3099,848,31530,0.421,0.233,0.187,4230,2344,1886,785,34999,10372,0.492,0.248,0.244,5104,2569,2535,821,35639,1601,0.075,-0.004,0.078,1542,329,1213,0.081,-0.099,1288,0.003,-0.018,0.021,668,104,564,0.033,-0.115
"Potter, TX",County,20035,0.511,0.205,0.306,10231,4110,6121,806,28995,0.476,0.269,0.207,8529,4817,3712,814,32808,16292,0.504,0.236,0.268,8218,3851,4367,715,30404,2125,0.034,-0.064,0.098,1702,-707,2409,-0.009,-0.116,3743,0.006,-0.031,0.037,2013,259,1754,0.127,-0.046
"Prince George's, MD",County,115941,0.522,0.265,0.257,60468,30713,29755,1459,56565,0.501,0.266,0.234,56639,30128,26511,1465,57772,100069,0.496,0.282,0.215,49683,28218,21465,1286,57890,2865,0.021,-0.002,0.022,3829,585,3244,-0.004,-0.021,15872,0.025,-0.017,0.042,10785,2495,8290,0.135,-0.023
"Prince William, VA",County,36683,0.525,0.277,0.248,19244,10161,9083,1658,61756,0.478,0.273,0.205,15424,8806,6618,1705,69049,33273,0.474,0.307,0.167,15759,10214,5545,1542,62093,4388,0.047,0.004,0.043,3820,1355,2465,-0.028,-0.106,3410,0.051,-0.03,0.081,3485,-53,3538,0.075,-0.005
"Providence, RI",County,101160,0.497,0.255,0.243,50321,25789,24532,957,32190,0.451,0.238,0.213,46340,24438,21902,936,33184,98349,0.514,0.269,0.245,50599,26499,24100,984,31205,-1586,0.046,0.017,0.029,3981,1351,2630,0.022,-0.03,2811,-0.017,-0.015,-0.003,-278,-710,432,-0.027,0.032
"Pueblo, CO",County,20904,0.559,0.264,0.295,11695,5527,6168,775,26396,0.496,0.192,0.304,10962,4246,6716,803,26364,18822,0.56,0.233,0.326,10532,4390,6142,726,24056,-1188,0.063,0.072,-0.009,733,1281,-548,-0.035,0.001,2082,0,0.031,-0.031,1163,1137,26,0.067,0.097
"Pulaski, AR",County,62177,0.501,0.255,0.246,31140,15842,15298,827,32766,0.487,0.268,0.219,29740,16370,13370,858,34262,58748,0.505,0.223,0.282,29646,13088,16558,843,32313,1161,0.013,-0.014,0.027,1400,-528,1928,-0.036,-0.044,3429,-0.004,0.032,-0.036,1494,2754,-1260,-0.019,0.014
"Putnam, FL",County,5417,0.416,0.152,0.264,2255,825,1430,736,26203,0.581,0.374,0.207,4287,2761,1526,655,23607,4809,0.524,0.352,0.172,2520,1692,828,677,26336,-1961,-0.165,-0.222,0.057,-2032,-1936,-96,0.123,0.11,608,-0.108,-0.2,0.092,-265,-867,602,0.086,-0.005
"Putnam, NY",County,5010,0.527,0.243,0.284,2638,1216,1422,1350,48992,0.611,0.221,0.389,3208,1163,2045,1521,65630,4978,0.542,0.257,0.285,2700,1281,1419,1444,67730,-243,-0.084,0.021,-0.105,-570,53,-623,-0.113,-0.254,32,-0.016,-0.015,-0.001,-62,-65,3,-0.065,-0.277
"Putnam, TN",County,12512,0.466,0.245,0.221,5834,3071,2763,718,27244,0.441,0.209,0.231,4744,2252,2492,673,27099,8054,0.473,0.214,0.259,3812,1723,2089,710,26029,1744,0.026,0.036,-0.011,1090,819,271,0.067,0.005,4458,-0.007,0.032,-0.039,2022,1348,674,0.011,0.047
"Queens, NY",County,407411,0.538,0.261,0.277,219104,106181,112923,1588,56199,0.539,0.26,0.279,219982,106171,113811,1543,53968,398242,0.505,0.233,0.272,201110,92709,108401,1343,50864,-414,-0.002,0,-0.002,-878,10,-888,0.029,0.041,9169,0.033,0.028,0.005,17994,13472,4522,0.183,0.105
"Racine, WI",County,25073,0.543,0.303,0.24,13618,7606,6012,847,30529,0.453,0.197,0.256,10913,4754,6159,849,31815,19747,0.435,0.277,0.158,8586,5462,3124,814,34041,976,0.09,0.106,-0.016,2705,2852,-147,-0.002,-0.04,5326,0.108,0.027,0.082,5032,2144,2888,0.041,-0.103
"Raleigh, WV",County,6760,0.562,0.218,0.343,3796,1476,2320,678,18438,0.449,0.162,0.288,2842,1022,1820,680,18211,6308,0.536,0.211,0.324,3378,1332,2046,619,26205,433,0.112,0.057,0.056,954,454,500,-0.003,0.012,452,0.026,0.007,0.019,418,144,274,0.095,-0.296
"Ramsey, MN",County,81118,0.49,0.25,0.239,39719,20316,19403,981,37882,0.48,0.239,0.24,40457,20193,20264,1021,39305,68578,0.555,0.313,0.242,38085,21498,16587,911,36919,-3230,0.01,0.011,-0.001,-738,123,-861,-0.04,-0.036,12540,-0.066,-0.063,-0.003,1634,-1182,2816,0.077,0.026
"Randall, TX",County,12188,0.389,0.201,0.187,4739,2455,2284,865,43972,0.398,0.216,0.182,5220,2836,2384,901,41265,12356,0.49,0.285,0.205,6058,3521,2537,777,32008,-918,-0.009,-0.015,0.005,-481,-381,-100,-0.04,0.066,-168,-0.101,-0.084,-0.018,-1319,-1066,-253,0.113,0.374
"Randolph, NC",County,12038,0.464,0.273,0.19,5582,3290,2292,678,28200,0.43,0.214,0.216,6598,3280,3318,708,28109,12483,0.44,0.268,0.172,5495,3348,2147,675,23411,-3309,0.034,0.06,-0.026,-1016,10,-1026,-0.042,0.003,-445,0.023,0.005,0.018,87,-58,145,0.004,0.205
"Rankin, MS",County,11376,0.324,0.16,0.165,3689,1816,1873,1044,47536,0.326,0.178,0.148,3547,1937,1610,1099,43619,10824,0.454,0.183,0.271,4915,1985,2930,840,33797,504,-0.002,-0.019,0.017,142,-121,263,-0.05,0.09,552,-0.13,-0.024,-0.106,-1226,-169,-1057,0.242,0.407
"Rapides , LA",County,16486,0.536,0.33,0.206,8829,5439,3390,819,27275,0.573,0.318,0.255,8994,4988,4006,818,29760,13681,0.536,0.261,0.276,7339,3564,3775,767,26124,799,-0.038,0.012,-0.05,-165,451,-616,0.002,-0.083,2805,-0.001,0.069,-0.07,1490,1875,-385,0.067,0.044
"Rensselaer, NY",County,23130,0.421,0.231,0.19,9727,5339,4388,977,43451,0.411,0.178,0.233,9475,4107,5368,939,42030,20655,0.435,0.195,0.24,8978,4020,4958,873,34951,71,0.01,0.053,-0.043,252,1232,-980,0.04,0.034,2475,-0.014,0.036,-0.05,749,1319,-570,0.119,0.243
"Richland, OH",County,14786,0.439,0.206,0.233,6485,3040,3445,656,26971,0.428,0.223,0.205,6384,3329,3055,613,28482,13037,0.483,0.266,0.217,6295,3462,2833,675,29371,-142,0.011,-0.017,0.028,101,-289,390,0.07,-0.053,1749,-0.044,-0.06,0.016,190,-422,612,-0.028,-0.082
"Richland, SC",County,60743,0.539,0.257,0.282,32713,15587,17126,982,35752,0.525,0.197,0.329,30720,11498,19222,946,33205,48918,0.484,0.245,0.238,23667,12009,11658,877,36764,2230,0.014,0.06,-0.047,1993,4089,-2096,0.038,0.077,11825,0.055,0.011,0.044,9046,3578,5468,0.12,-0.028
"Richmond, GA",County,32497,0.557,0.263,0.293,18090,8557,9533,870,29622,0.6,0.282,0.318,18717,8810,9907,863,26811,27861,0.501,0.238,0.262,13949,6643,7306,823,31413,1298,-0.043,-0.019,-0.024,-627,-253,-374,0.008,0.105,4636,0.056,0.025,0.031,4141,1914,2227,0.057,-0.057
"Richmond, NY",County,47025,0.498,0.213,0.285,23413,10007,13406,1291,45425,0.558,0.232,0.325,25401,10587,14814,1323,41613,44545,0.528,0.208,0.321,23533,9256,14277,1305,42748,1463,-0.06,-0.02,-0.04,-1988,-580,-1408,-0.024,0.092,2480,-0.03,0.005,-0.035,-120,751,-871,-0.011,0.063
"Richmond, VA",County,50497,0.529,0.274,0.255,26717,13860,12857,1016,36200,0.535,0.269,0.265,25543,12871,12672,973,33390,37925,0.547,0.239,0.308,20739,9054,11685,902,27958,2723,-0.006,0.005,-0.011,1174,989,185,0.044,0.084,12572,-0.018,0.036,-0.053,5978,4806,1172,0.126,0.295
"Riley, KS",County,14696,0.594,0.247,0.347,8729,3636,5093,887,30394,0.564,0.297,0.267,8117,4278,3839,940,37974,11782,0.545,0.247,0.297,6416,2911,3505,831,26537,316,0.03,-0.05,0.08,612,-642,1254,-0.057,-0.2,2914,0.049,0,0.049,2313,725,1588,0.068,0.145
"Riverside, CA",County,219257,0.61,0.294,0.317,133764,64354,69410,1374,44041,0.606,0.284,0.322,137706,64562,73144,1351,42758,201097,0.613,0.293,0.32,123248,58976,64272,1296,44699,-7871,0.004,0.009,-0.005,-3942,-208,-3734,0.017,0.03,18160,-0.003,0,-0.003,10516,5378,5138,0.06,-0.015
"Roanoke, VA",County,29908,0.985,0.519,0.467,14790,7854,6936,1789,68117,0.937,0.387,0.55,13990,6065,7925,1717,70659,26045,0.908,0.557,0.351,12214,7132,5082,1610,80792,1253,0.048,0.131,-0.083,800,1789,-989,0.042,-0.036,3863,0.077,-0.039,0.115,2576,722,1854,0.111,-0.157
"Robeson, NC",County,12992,0.472,0.255,0.217,6126,3309,2817,627,26060,0.5,0.279,0.22,6521,3643,2878,625,22234,11093,0.433,0.225,0.207,4798,2500,2298,645,23269,-62,-0.028,-0.024,-0.004,-395,-334,-61,0.003,0.172,1899,0.039,0.029,0.01,1328,809,519,-0.027,0.12
"Rock Island, IL",County,16514,0.436,0.245,0.191,7194,4048,3146,791,32637,0.479,0.232,0.247,8905,4316,4589,741,29133,16598,0.417,0.233,0.183,6914,3873,3041,673,31239,-2072,-0.043,0.013,-0.056,-1711,-268,-1443,0.068,0.12,-84,0.019,0.012,0.007,280,175,105,0.176,0.045
"Rock, WI",County,20941,0.396,0.218,0.179,8303,4561,3742,832,40134,0.464,0.239,0.225,9610,4947,4663,823,32996,15743,0.522,0.293,0.229,8222,4614,3608,822,36338,231,-0.068,-0.021,-0.046,-1307,-386,-921,0.011,0.216,5198,-0.126,-0.075,-0.05,81,-53,134,0.012,0.104
