Region,Year,total_pop,ave_lifeexp,ave_birthrate,gdp_percap,ave_neonatal_mort_rate
South Asia,1991,1157752321,58.60933231707316,35.997375,1247.1757807742986,48.675000000000004
South Asia,1992,1182862267,59.1945975609756,35.192125000000004,1321.5885982712332,47.65
South Asia,1993,1208123497,59.761420731707325,34.402375,1382.7377400760963,46.5625
South Asia,1994,1233480616,60.31003048780489,33.6395,1466.861224433968,45.375
South Asia,1995,1258903823,60.84996036585366,32.905875,1569.1049200754958,44.0875
South Asia,1996,1284343918,61.394332317073186,32.193875,1673.0849119167972,42.824999999999996
South Asia,1997,1309774343,61.95543292682929,31.491625,1730.669249556524,41.5375
South Asia,1998,1335193652,62.53843597560977,30.79225,1810.799322092747,40.2375
South Asia,1999,1360594891,63.139993902439024,30.0995,1942.5651671214919,38.925
South Asia,2000,1385959570,63.75259756097564,29.424875,2030.3760138652435,37.6375
South Asia,2001,1411288216,64.36293902439026,28.782875,2127.685996710073,36.35
South Asia,2002,1436527869,64.95466158536586,28.183374999999998,2182.261887614642,35.15
South Asia,2003,1461601023,65.51517682926828,27.630125,2344.619894609593,33.875
South Asia,2004,1486402311,66.0369268292683,27.12,2547.6725718183866,32.6625
South Asia,2005,1510864613,66.5149054878049,26.6415,2814.0043789359,31.425
South Asia,2006,1534949611,66.94888109756099,26.176750000000002,3100.496885772333,30.337500000000002
South Asia,2007,1558685624,67.3464786585366,25.709375,3384.881772821889,29.3375
South Asia,2008,1582147481,67.71614024390244,25.228,3529.911037287346,28.4
South Asia,2009,1605443788,68.06252439024392,24.729875,3768.1409273320287,27.475
South Asia,2010,1628688562,68.39043292682928,24.221125,4093.78321876471,26.625
South Asia,2011,1651888921,68.70537195121952,23.713875,4376.233797305228,25.775000000000002
South Asia,2012,1675019307,69.01080487804877,23.22325,4641.058353923279,24.975
South Asia,2013,1698093032,69.30987195121952,22.759875,4941.783560500615,24.2125
South Asia,2014,1721152580,69.60513719512196,22.324375,5300.713212434341,23.55
Sub-Saharan Africa,1990,508274783,51.50503181336162,43.28006382978723,1643.0919153219697,43.09148936170213
Sub-Saharan Africa,1991,522658547,51.48423223753977,42.89502127659574,1650.588293992211,42.52978723404255
Sub-Saharan Africa,1992,537401088,51.85636377789311,42.52953191489362,1612.7177612091136,42.04042553191489
Sub-Saharan Africa,1993,552474255,51.419211028632034,42.14173758865248,1608.4056467160929,41.60212765957447
Sub-Saharan Africa,1994,567849593,51.41198144220572,41.770390070921984,1624.6491247154693,41.229787234042554
Sub-Saharan Africa,1995,583503523,51.42643478260871,41.40446808510638,1665.169905037454,40.829787234042556
Sub-Saharan Africa,1996,599459137,51.44682449628845,41.100255319148935,1740.5737681293745,40.35531914893617
Sub-Saharan Africa,1997,615751507,51.89579813181111,40.74559574468085,1788.8364047509,39.83617021276596
Sub-Saharan Africa,1998,632437265,51.504486214209976,40.42089361702128,1805.5362883866785,39.21063829787234
Sub-Saharan Africa,1999,649600908,51.56127465535526,40.16302127659574,1830.5824458703694,38.47234042553192
Sub-Saharan Africa,2000,667303361,51.675350477200425,39.895,1893.0577959032207,37.672340425531914
Sub-Saharan Africa,2001,685347923,51.860358430540835,39.602170212765955,1969.179044085609,36.851063829787236
Sub-Saharan Africa,2002,703548709,52.59484691229891,39.347042553191486,2005.5105331074676,36.02765957446808
Sub-Saharan Africa,2003,722369527,52.94960785331258,39.08659574468085,2093.2959267025963,35.240425531914894
Sub-Saharan Africa,2004,741840464,53.4862561840512,38.8131914893617,2352.5233373321976,34.47659574468085
Sub-Saharan Africa,2005,762002566,54.07389309807993,38.57004255319149,2494.223942202785,33.7
Sub-Saharan Africa,2006,782879376,54.74319615983394,38.25829787234043,2678.621277791156,32.95531914893617
Sub-Saharan Africa,2007,804469172,55.470732226258434,37.97731914893617,2863.778798826392,32.217021276595744
Sub-Saharan Africa,2008,826755847,56.17583341982356,37.68353191489362,3004.1456062587076,31.493617021276595
Sub-Saharan Africa,2009,849703613,56.86333108458745,37.367170212765956,3042.6846980853506,30.802127659574467
Sub-Saharan Africa,2010,873289791,57.50961754021797,37.009787234042555,3167.786057172465,30.131914893617022
Sub-Saharan Africa,2011,897503371,58.092539180072656,36.69512765957447,3305.653245121507,29.459574468085105
Sub-Saharan Africa,2012,917462006,58.674232485729114,36.321936170212766,3432.910882709259,28.785106382978725
Sub-Saharan Africa,2013,942816296,59.14667566165024,35.89448936170213,3565.444477547921,28.148936170212767
Sub-Saharan Africa,2014,968747541,59.600679294239754,35.472638297872344,3705.214052639855,27.53404255319149
